lga_name, lga_code, lw_excse_2_asr
"Loddon (S)",23940,77.4
"Macedon Ranges (S)",24130,62.8
"Manningham (C)",24210,62.2
"Mansfield (S)",24250,65.2
"Maribyrnong (C)",24330,65.0
"Maroondah (C)",24410,64.6
"Melbourne (C)",24600,58.2
"Melton (S)",24650,68.5
"Mildura (RC)",24780,71.7
"Mitchell (S)",24850,68.8
"Moira (S)",24900,72.3
"Monash (C)",24970,64.7
"Moonee Valley (C)",25060,62.2
"Moorabool (S)",25150,67.6
"Moreland (C)",25250,64.4
"Mornington Peninsula (S)",25340,62.4
"Mount Alexander (S)",25430,67.1
"Moyne (S)",25490,76.3
"Murrindindi (S)",25620,69.6
"Nillumbik (S)",25710,57.6
"Northern Grampians (S)",25810,71.0
"Port Phillip (C)",25900,52.9
"Pyrenees (S)",25990,73.0
"Queenscliffe (B)",26080,61.7
"South Gippsland (S)",26170,71.8
"Southern Grampians (S)",26260,71.7
"Stonnington (C)",26350,52.5
"Strathbogie (S)",26430,71.7
"Surf Coast (S)",26490,61.9
"Swan Hill (RC)",26610,73.7
"Towong (S)",26670,70.3
"Wangaratta (RC)",26700,69.2
"Warrnambool (C)",26730,67.3
"Wellington (S)",26810,71.1
"West Wimmera (S)",26890,76.9
"Whitehorse (C)",26980,63.0
"Whittlesea (C)",27070,70.2
"Wodonga (RC)",27170,66.9
"Wyndham (C)",27260,68.1
"Yarra (C)",27350,56.8
"Yarra Ranges (S)",27450,63.1
"Yarriambiack (S)",27630,76.9
"Unincorporated Vic",29399,null
"Aurukun (S)",30250,null
"Balonne (S)",30300,80.2
"Banana (S)",30370,79.2
"Barcaldine (R)",30410,null
"Barcoo (S)",30450,null
"Blackall Tambo (R)",30760,null
"Central Highlands (R)",32270,72.2
"Charters Towers (R)",32310,78.4
"Ipswich (C)",33960,73.8
"Isaac (R)",33980,73.5
"Kowanyama (S)",34420,null
"Lockhart River (S)",34570,null
"Lockyer Valley (R)",34580,78.3
"Logan (C)",34590,72.4
"Longreach (R)",34710,null
"Mackay (R)",34770,71.7
"Boulia (S)",30900,null
"Brisbane (C)",31000,65.3
"McKinlay (S)",34800,null
"Bulloo (S)",31750,null
"Bundaberg (R)",31820,74.9
"Burdekin (S)",31900,79.3
"Burke (S)",31950,null
"Cairns (R)",32070,64.0
"Carpentaria (S)",32250,null
"Cassowary Coast (R)",32260,75.7
"Cherbourg (S)",32330,77.4
"Cloncurry (S)",32450,null
"Cook (S)",32500,null
"Croydon (S)",32600,null
"Gold Coast (C)",33430,60.0
"Goondiwindi (R)",33610,80.2
"Gympie (R)",33620,75.4
"Pormpuraaw (S)",36070,null
"Diamantina (S)",32750,null
"Hinchinbrook (S)",33800,78.4
"Hope Vale (S)",33830,null
"Quilpie (S)",36150,null
"Doomadgee (S)",32770,null
"Etheridge (S)",33100,null
"Flinders (S)",33200,null
"Fraser Coast (R)",33220,73.2
"Gladstone (R)",33360,70.3
"Mapoon (S)",34830,null
"Maranoa (R)",34860,77.2
"Moreton Bay (R)",35010,70.6
"Mornington (S)",35250,null
"Mount Isa (C)",35300,69.0
"Murweh (S)",35600,null
"Napranum (S)",35670,null
"North Burnett (R)",35760,82.1
"Northern Peninsula Area (R)",35780,null
"Redland (C)",36250,68.2
"Richmond (S)",36300,null
"Rockhampton (R)",36360,71.0
"Scenic Rim (R)",36510,71.6
"Somerset (R)",36580,75.8
"South Burnett (R)",36630,76.6
"Southern Downs (R)",36660,75.8
"Sunshine Coast (R)",36710,63.0
"Tablelands (R)",36810,74.4
"Toowoomba (R)",36910,72.8
"Torres (S)",36950,null
"Torres Strait Island (R)",36960,null
"Townsville (C)",37010,64.6
"Palm Island (S)",35790,78.4
"Paroo (S)",35800,null
"Weipa (T)",37300,null
"Western Downs (R)",37310,77.7
"Whitsunday (R)",37340,70.7
"Adelaide (C)",40070,59.7
"Adelaide Hills (DC)",40120,65.2
"Alexandrina (DC)",40220,70.7
"Winton (S)",37400,null
"Campbelltown (C)",40910,66.3
"Ceduna (DC)",41010,null
"Charles Sturt (C)",41060,66.2
"Woorabinda (S)",37550,null
"Anangu Pitjantjatjara (AC)",40250,null
"Wujal Wujal (S)",37570,null
"Yarrabah (S)",37600,77.9
"Barossa (DC)",40310,69.7
"Barunga West (DC)",40430,76.4
"Berri and Barmera (DC)",40520,75.2
"Burnside (C)",40700,57.5
"Clare and Gilbert Valleys (DC)",41140,72.8
"Coober Pedy (DC)",41330,null
